;link;title;description;price;location;typeflat;img
38;https://www.spareroom.co.uk/flatshare/london/london_nw2/16325439;Double large room with garden and living ;"
	

A large 7 bedrooms house , 2 bathrooms with a garden and large living in a bright house .
A short walk to Acton town station, Several bus stops and...";£887pcm;London NW2 (NW2);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/25/85255643.jpg
39;https://www.spareroom.co.uk/flatshare/nottinghamshire/mansfield/16100618;🔥🔥Extra large studio ensuite room 15th Sept! ;"
	


Available 15th September!!!


Newly refurbished property.

0.7miles  to Mansfield train station 
2.3 miles to AMAZON!
6 miles to Fraser Group...";£695pcm;Mansfield (NG18);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345784.jpg
40;https://www.spareroom.co.uk/flatshare/staffordshire/longton/7516615;ST3/Longton. Parking. Double + sofa + Smart TV!;"
	

Located  in  Longton  (ST3) only  5min  walk  from  the  town  centre  is  this  fully  renovated  property.  Couples  accepted.  To  view  ring...";£105pw;Longton (ST3);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345795.jpg
41;https://www.spareroom.co.uk/flatshare/london/north_greenwich/16339257;Amazing Penthouse with Living Room in Greenwich!!;"
	

I am proud to present this room in this amazing flat share to be safe and comfort.


The area is fantastic, you can't really beat it. You have...";£285- £345pw;North Greenwich (SE10);4 doubles;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345631.jpg
42;https://www.spareroom.co.uk/flatshare/west_midlands/walsgrave_on_sowe/4644125;Sociable house close to hospital;"
	

Cottage feel home just minutes walk away from the hospital and, a moments drive from M6 and local business parks. This four bed house has plenty of...";£470pcm;Walsgrave on Sowe (CV2);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/10/37/10379521.jpg
43;https://www.spareroom.co.uk/flatshare/hampshire/southampton/13921732;Large Double Room September 17th - utils inc;"
	

One  double  room  for  rent  in  sociable  young  professional  house  share.  Upper  Shirley,  Southampton. 

Room  for  rent  in  sociable  house...";£410pcm;Southampton (SO16);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/67/90/67900489.jpg
44;https://www.spareroom.co.uk/flatshare/merseyside/liverpool/15690062;4 Bedroom Luxury House Share - Very Close to City!;"
	

One of the largest rooms available NOW! 
TRUE LUXURY ACCOMMODATION  
Newly Renovated HMO available immediately - DON’T MISS OUT


32inch Smart...";£390pcm;Liverpool (L6);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/82/80/82807466.jpg
45;https://www.spareroom.co.uk/flatshare/kent/welling/4247847;Double room for single  professional/std;"
	

We have a spacious furnished double bedroom in Welling to rent in a three bed room house with large dining room and kitchen. All bills are included...";£480pcm;Welling (DA16);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345604.jpg
46;https://www.spareroom.co.uk/flatshare/greater_manchester/west_didsbury/16339238;Lovely Whole House Rental;"
	

Whole house in West Didsbury would suit large fsmily /group - located near Metrolknk and Northern Lawn Tennis Club great location Bills not included";£2,099 pcm;West Didsbury (M20);4 bed house;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345592.jpg
47;https://www.spareroom.co.uk/flatshare/london/tooting/16339236;Double room in quite Tooting;"
	

Hi there, thanks for stopping by.
I have a spareroom and looking to find a suitable housemate. 
The house has two rooms and I am looking to find...";£750pcm;Tooting (SW17);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345573.jpg
48;https://www.spareroom.co.uk/flatshare/london/earlsfield/16339224;Double room with en suite ;"
	

Hello

My flat mate is moving out to live with his girlfriend and I am looking to fill his room.  

The room is a good size and has an en suite...";£1,100pcm;Earlsfield (SW18);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85345466.jpg
